ＥＤＩＮＥＴコード,提出者名,提出者業種,提出者法人番号
E00327,株式会社ウエストホールディングス,建設業,9240001016913
E00329,ショーボンドホールディングス株式会社,建設業,8010001135778
E00331,森永乳業株式会社,食料品,8010401029662
E00334,日本ハム株式会社,食料品,6120001077615
E00335,プリマハム株式会社,食料品,6010701008888
E00337,六甲バター株式会社,食料品,6140001011869
E00341,福留ハム株式会社,食料品,6240001010290
E00342,エスフーズ株式会社,食料品,6140001069164
E00343,滝沢ハム株式会社,食料品,4060001017356
E00345,株式会社ニップン,食料品,9011001017684
E00346,株式会社日清製粉グループ本社,食料品,8010001008736
E00347,日東富士製粉株式会社,食料品,3010001034893
E00348,昭和産業株式会社,食料品,3010001008690
E00351,鳥越製粉株式会社,食料品,5290001055183
E00355,日本甜菜製糖株式会社,食料品,8010401054826
E00356,ＤＭ三井製糖株式会社,食料品,1010001034929
E00360,フジ日本株式会社,食料品,5010001034982
E00361,塩水港精糖株式会社,食料品,7010001079324
E00369,森永製菓株式会社,食料品,1010401029660
E00371,井村屋グループ株式会社,食料品,5190001000125
E00372,株式会社中村屋,食料品,6011101015442
E00373,江崎グリコ株式会社,食料品,5120001049268
E00374,株式会社不二家,食料品,3010001034910
E00375,山崎製パン株式会社,食料品,4010001008806
E00376,株式会社ｍｅｉｔｏ,食料品,5180001027409
E00377,第一屋製パン株式会社,食料品,8012701009955
E00378,カンロ株式会社,食料品,9011201001240
E00380,株式会社ブルボン,食料品,6110001017563
E00381,モロゾフ株式会社,食料品,2140001002665
E00382,日糧製パン株式会社,食料品,8430001012919
E00385,亀田製菓株式会社,食料品,4110001006378
E00386,岩塚製菓株式会社,食料品,5110001023736
E00387,寿スピリッツ株式会社,食料品,1270001003263
E00388,株式会社コモ,食料品,1180001075799
E00389,株式会社湖池屋,食料品,9011401005578
E00390,ヒロタグループホールディングス株式会社,小売業,3010001067927
E00393,サッポロホールディングス株式会社,食料品,4011001009265
E00394,アサヒグループホールディングス株式会社,食料品,6010601036386
E00395,キリンホールディングス株式会社,食料品,5010001034768
E00396,宝ホールディングス株式会社,食料品,4130001014981
E00397,オエノンホールディングス株式会社,食料品,2010001034770
E00400,養命酒製造株式会社,食料品,2011001024084
E00406,株式会社ヤクルト本社,食料品,7010401029746
E00408,北海道コカ・コーラボトリング株式会社,食料品,9430001021794
E00410,オリオンビール株式会社,食料品,7360001008504
E00414,株式会社伊藤園,食料品,3011001002279
E00417,コカ・コーラボトラーズジャパンホールディングス株式会社,食料品,4290001002946
E00422,マルサンアイ株式会社,食料品,9180301001869
E00424,ダイドーグループホールディングス株式会社,食料品,2120001083154
E00428,日清オイリオグループ株式会社,食料品,1010001034887
E00431,不二製油株式会社,食料品,8120001088461
E00433,かどや製油株式会社,食料品,9010701002351
E00434,株式会社Ｊ－オイルミルズ,食料品,6010001078021
E00435,キッコーマン株式会社,食料品,2040001071167
E00436,味の素株式会社,食料品,8010001034740
E00439,中部飼料株式会社,食料品,2180001094757
E00442,日本食品化工株式会社,食料品,8010001133971
E00443,林兼産業株式会社,食料品,8250001006179
E00444,カゴメ株式会社,食料品,2180001035109
E00446,株式会社ニチレイ,食料品,8010001034889
E00447,株式会社セイヒョー,食料品,3110001002790
E00448,群栄化学工業株式会社,化学,7070001006735
E00452,ヱスビー食品株式会社,食料品,6010001034750
E00453,石井食品株式会社,食料品,7040001016687
E00454,日和産業株式会社,食料品,7140001002355
E00456,ユアサ・フナショク株式会社,卸売業,6040001019014
E00457,日清食品ホールディングス株式会社,食料品,7120001057574
E00458,丸大食品株式会社,食料品,3120901012046
E00461,東洋水産株式会社,食料品,2010401020321
E00462,ハウス食品グループ本社株式会社,食料品,2122001005872
E00464,キユーピー株式会社,食料品,6011001006277
E00465,ユタカフーズ株式会社,食料品,7180001092285
E00466,ブルドックソース株式会社,食料品,6010001034924
E00467,シマダヤ株式会社,食料品,3011001010678
E00471,株式会社ウェルディッシュ,食料品,6010001010603
E00472,太陽化学株式会社,食料品,3190001015397
E00473,シノブフーズ株式会社,食料品,2120001049881
E00474,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社,食料品,8010701008226
E00476,一正蒲鉾株式会社,食料品,5110001001304
E00478,和弘食品株式会社,食料品,9430001050661
E00480,株式会社あじかん,食料品,4240001000392
E00481,フジッコ株式会社,食料品,9140001010604
E00482,株式会社ロック・フィールド,食料品,4140001002820
E00484,佐藤食品工業株式会社,食料品,5180001075845
E00486,アリアケジャパン株式会社,食料品,3011001030833
E00487,旭松食品株式会社,食料品,5100001022185
E00488,株式会社デルソーレ,食料品,7011001041298
E00491,キーコーヒー株式会社,食料品,4010401007523
E00492,日本たばこ産業株式会社,食料品,4010401023000
E00493,ケンコーマヨネーズ株式会社,食料品,6140001003305
E00494,仙波糖化工業株式会社,食料品,6060001009351
E00495,株式会社大森屋,食料品,1120001034595
E00496,わらべや日洋ホールディングス株式会社,食料品,9012701001077
E00497,株式会社　マルタイ,食料品,5290001000577
E00498,日東ベスト株式会社,食料品,6390001011877
E00501,株式会社ダイショー,食料品,8010601023878
E00502,株式会社ヒガシマル,食料品,1340001000162
E00505,株式会社ユニカフェ,食料品,9010401030413
E00506,株式会社なとり,食料品,9011501003449
E00508,はごろもフーズ株式会社,食料品,3080001008932
E00510,サトウ食品株式会社,食料品,8110001002068
E00511,イフジ産業株式会社,食料品,7290001038112
E00513,株式会社ピエトロ,食料品,3290001018662
E00514,エバラ食品工業株式会社,食料品,5020001022870
E00515,株式会社　篠崎屋,食料品,5030001051126
E00518,ＲＩＺＡＰグループ株式会社,小売業,2011201012987
E00521,ポラリス・ホールディングス株式会社,サービス業,5010001128140
E00523,ヒューリック株式会社,不動産業,9010001008702
E00525,東洋紡株式会社,化学,2120001059666
E00529,ダイワボウホールディングス株式会社,卸売業,7120001077473
E00540,トヨタ紡織株式会社,輸送用機器,2180301014324
E00541,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,証券、商品先物取引業,3010401054921
E00542,日東紡績株式会社,ガラス・土石製品,4380001001146
E00544,日清紡ホールディングス株式会社,電気機器,6010001034882
E00545,マーチャント・バンカーズ株式会社,サービス業,7010001101599
E00558,日本製麻株式会社,卸売業,6230001008369
E00570,ニチモウ株式会社,卸売業,7010701011833
E00576,テルマー湯ホールディングス株式会社,不動産業,7010001076098
E00585,株式会社バナーズ,小売業,6030001085230
E00609,ＭＲＫホールディングス株式会社,小売業,1120001120362
E00630,株式会社ウッドワン,その他製品,4240001027972
E00631,永大産業株式会社,その他製品,7120001030374
E00632,ホクシン株式会社,その他製品,5120101037593
E00633,セブン工業株式会社,その他製品,1200001017170
E00635,南海プライウッド株式会社,その他製品,9470001003062
E00636,株式会社ノダ,その他製品,6010501010276
E00639,株式会社オービス,その他製品,1240001030054
E00640,ニホンフラッシュ株式会社,その他製品,8480001003475
E00642,王子ホールディングス株式会社,パルプ・紙,5010001034743
E00644,三菱製紙株式会社,パルプ・紙,8010001008769
E00645,北越コーポレーション株式会社,パルプ・紙,6110001023149
E00649,中越パルプ工業株式会社,パルプ・紙,3010001034877
E00650,株式会社巴川コーポレーション,パルプ・紙,9010001034871
E00652,野崎印刷紙業株式会社,その他製品,8130001005275
E00659,レンゴー株式会社,パルプ・紙,1120001036880
E00660,大王製紙株式会社,パルプ・紙,9500001014345
E00664,古林紙工株式会社,パルプ・紙,6120001088901
E00667,株式会社リヒトラブ,その他製品,1120001077594
E00668,ダイナパック株式会社,パルプ・紙,1180001037535
E00669,株式会社トーモク,パルプ・紙,7010001024692
E00670,コクヨ株式会社,その他製品,6120001012282
E00674,ザ・パック株式会社,パルプ・紙,5120001012382
E00675,スーパーバッグ株式会社,パルプ・紙,8013301005766
E00677,大石産業株式会社,パルプ・紙,9290801009087
E00678,ユニ・チャーム株式会社,化学,8500001014833
E00679,ナカバヤシ株式会社,その他製品,4120001086023
E00682,大村紙業株式会社,パルプ・紙,8021001006662
E00685,ニッポン高度紙工業株式会社,パルプ・紙,2490001001698
E00686,昭和パックス株式会社,パルプ・紙,9011101009961
E00687,株式会社岡山製紙,パルプ・紙,1260001001078
E00688,株式会社イムラ,パルプ・紙,1120001074740
E00690,ハビックス株式会社,パルプ・紙,6200001004239
E00691,特種東海製紙株式会社,パルプ・紙,3080001014336
E00692,ＴＯＰＰＡＮホールディングス株式会社,その他製品,7010501016231
E00693,大日本印刷株式会社,その他製品,5011101012069
E00695,共同印刷株式会社,その他製品,8010001002136
E00696,光村印刷株式会社,その他製品,4010701009442
E00703,ＮＩＳＳＨＡ株式会社,その他製品,9130001023441
E00705,株式会社ヴィア・ホールディングス,小売業,6010001000249
E00707,株式会社学研ホールディングス,情報・通信業,7010701021114
E00708,光ビジネスフォーム株式会社,パルプ・紙,5010101003318
E00709,株式会社文溪堂,情報・通信業,2200001011461
E00710,株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,その他製品,1013301013404
E00711,株式会社光陽社,その他製品,2120001077412
E00712,三光産業株式会社,その他製品,8011001034045
E00714,朝日印刷株式会社,パルプ・紙,3230001000097
E00715,株式会社マツモト,その他製品,9290801005722
E00716,株式会社プロネクサス,その他製品,4010401001245
E00717,株式会社ゼンリン,情報・通信業,5290801002046
E00719,サンメッセ株式会社,その他製品,9200001013658
E00720,竹田ｉＰホールディングス株式会社,その他製品,5180001008739
E00721,株式会社昭文社ホールディングス,情報・通信業,7010001018224
E00722,福島印刷株式会社,その他製品,2220001005602
E00723,株式会社中央経済社ホールディングス,情報・通信業,1010001022710
E00724,株式会社広済堂ホールディングス,その他製品,7010401009665
E00725,株式会社フジシールインターナショナル,その他製品,1120001002503
E00728,ＳＥホールディングス・アンド・インキュベーションズ株式会社,情報・通信業,8011101028203
E00730,セキ株式会社,その他製品,9500001002341
E00734,株式会社平賀,その他製品,5011601005828
E00735,総合商研株式会社,その他製品,8430001009031
E00736,スターツ出版株式会社,情報・通信業,7011701004273
E00744,株式会社　サイネックス,サービス業,1120001079723
E00745,株式会社ウェッジホールディングス,その他金融業,7010001085875
E00748,株式会社ウイルコホールディングス,その他製品,7220001008889
E00751,株式会社レゾナック・ホールディングス,化学,9010401014548
E00752,住友化学株式会社,化学,2010001071327
E00755,住友精化株式会社,化学,6140001044373
E00759,日産化学株式会社,化学,1010001008734
E00760,ラサ工業株式会社,化学,8010001034971
E00761,株式会社クレハ,化学,7010001034766
E00762,多木化学株式会社,化学,5140001043137
E00763,神島化学工業株式会社,ガラス・土石製品,2120001077049
E00764,テイカ株式会社,化学,7120001027825
E00765,石原産業株式会社,化学,9120001048976
E00766,日本曹達株式会社,化学,1010001008833
E00767,東ソー株式会社,化学,5250001010002
E00768,株式会社トクヤマ,化学,1250001009080
E00769,セントラル硝子株式会社,化学,4250001003329
E00770,東亞合成株式会社,化学,5010401020186
E00771,株式会社大阪ソーダ,化学,4120001049013
E00772,関東電化工業株式会社,化学,8010001013769
E00774,デンカ株式会社,化学,3010001008757
E00775,イビデン株式会社,電気機器,6200001013231
E00776,信越化学工業株式会社,化学,5010001008680
E00777,日本カーバイド工業株式会社,化学,6010401038624
E00780,堺化学工業株式会社,化学,4120101002532
E00781,高圧ガス工業株式会社,化学,5120001059639
E00783,日本酸素ホールディングス株式会社,化学,7010701015826
E00784,日本化学工業株式会社,化学,3010601005559
E00786,日本化学産業株式会社,化学,8010501016239
E00787,東邦アセチレン株式会社,化学,8010001034831
E00789,片倉コープアグリ株式会社,化学,4010001008665
E00791,丸尾カルシウム株式会社,化学,5140001035506
E00792,エア・ウォーター株式会社,化学,1430001009475
E00794,小池酸素工業株式会社,機械,7011701002789
